group,support,precision,recall,f1,roc_auc
0,2,0.0,0.0,0.0,
1,2130,0.515970515970516,0.5185185185185185,0.5172413793103449,
2,2774,0.5299026425591099,0.5807926829268293,0.5541818181818182,
3,1014,0.5106382978723404,0.5517241379310345,0.5303867403314917,
4,26,0.0,0.0,0.0,
5,45,0.0,0.0,0.0,
6,9,0.0,0.0,0.0,
